,bhattacharyya,bhattacharyyaAngle,count,hellingerDistance,iso,kullbackLeiblerDivergence,labelAspect,labelData
0,1.2889831653912835,1.2916336577551288,24610,0.46783039853503167,AFG,0.7041407926827585,number of versions,nodes with tags
1,1.7461205767977572,1.395449765278633,2618,0.06359525190844051,AFG,0.01580081055859344,timespan between versions,nodes with tags
2,1.892736440987865,1.4195615044516798,44940,0.21744257077479467,AFG,0.16266440580379038,tag value length,nodes with tags
3,1.3057241637110049,1.2963892626763842,282923,0.4181161621459788,AFG,0.6141359680902938,number of versions,ways
4,1.765335502434729,1.3988204998189708,61745,0.047462169141115194,AFG,0.008973832860978859,timespan between versions,ways
5,1.7722555443638373,1.4000181792148625,405249,0.21254193070597563,AFG,0.16853398924815569,tag value length,ways
6,2.04602576017701,1.4411862044273853,282923,0.23677115089993744,AFG,0.257488491019781,number of nodes,ways
7,1.779117795357309,1.401197458398155,4998850,0.021435692179611554,AFG,0.0018265596195101027,distance between nodes,ways
8,1.870996030861353,1.4162111597086326,330843,0.06484149915831007,AFG,0.016945598126097534,length,ways
9,1.215735482584254,1.269779076961243,101254,0.5987692264841179,AFG,1.0578394796511716,number of versions,buildings
10,1.82889059476756,1.4095062930730766,307,0.1519566572424285,AFG,0.08040461160539053,timespan between versions,buildings
11,1.9289060448842932,1.424972996350706,107065,0.5666314569144101,AFG,1.3304008612194034,tag value length,buildings
12,2.4537481853491383,1.484719324271518,101254,0.6081317506624655,AFG,1.4058760232925567,number of nodes,buildings
13,1.8280010119394423,1.4093614888475199,535681,0.09143128345840397,AFG,0.031558448801201344,distance between nodes,buildings
14,1.7625266355426343,1.3983319167590158,101254,0.061723525157925556,AFG,0.015018351761351093,area,buildings
15,1.248011803425067,1.2796244300643027,32490,0.5237117481329973,AFG,0.8656035641829651,number of versions,residential areas
16,1.8331085046256326,1.4101910778405653,1087,0.056616944342274114,AFG,0.0135062242044536,timespan between versions,residential areas
17,1.2140403528957566,1.269252332551304,33273,0.6023511786529784,AFG,1.103089581268466,tag value length,residential areas
18,1.8958628489235354,1.4200372030231134,32490,0.22448252296603813,AFG,0.19682599208512297,number of nodes,residential areas
19,1.8894975961221139,1.4190670905600706,469104,0.08488475588413404,AFG,0.028599116916875354,distance between nodes,residential areas
20,1.7879848075331544,1.402708973015928,32490,0.009747455798690395,AFG,0.0003797763900856046,area,residential areas
21,1.2872013512755087,1.2911224115577833,5,0.5670948058168342,AFG,0.8073844493186756,number of versions,retail areas
22,2.7038571597405587,1.5037994282056475,5,0.8609641241656883,AFG,2.7038571597405587,tag value length,retail areas
23,2.057220574133157,1.4426370717079937,5,0.5541403834321862,AFG,0.9126624107489556,number of nodes,retail areas
24,1.9024494771524063,1.4210344259898682,64,0.1390452445324094,AFG,0.07377647055191001,distance between nodes,retail areas
25,1.9453792999730712,1.427372115659585,5,0.5907627375165803,AFG,1.1587985944435304,area,retail areas
26,1.388183593646965,1.3186033782644755,118595,0.3348372061606763,AFG,0.3947927080073035,number of versions,roads
27,1.768734904014449,1.399409914603791,48878,0.046592131126097995,AFG,0.00865871106448176,timespan between versions,roads
28,1.746344332015155,1.3954894025293372,216033,0.20621426669648008,AFG,0.16442419829846025,tag value length,roads
29,1.8776381262415844,1.4172426743350712,118595,0.10054360144980581,AFG,0.04025043138051535,number of nodes,roads
30,1.7591983372868902,1.3977511487762513,2719290,0.0434010074927329,AFG,0.007500021556040228,distance between nodes,roads
31,1.7847646132718464,1.4021616370106456,118663,0.011731697708824962,AFG,0.0005489969435779525,length,roads
32,1.7741965138986069,1.4003525806681716,1006,0.10345124806626212,AFG,0.04208869435652901,number of versions,primary roads
33,1.8494178729416997,1.4128112220718103,2928,0.05598566865091522,AFG,0.012989997752078413,timespan between versions,primary roads
34,2.025239083811682,1.4384480050763442,4843,0.33093065118689163,AFG,0.47846640931798173,tag value length,primary roads
35,1.7994630338647737,1.4046452431473881,1006,0.17177940613116413,AFG,0.12768334520991526,number of nodes,primary roads
36,1.8563071348888307,1.4139049023672086,43962,0.07989189197800478,AFG,0.025369297090918008,distance between nodes,primary roads
37,1.8077646422477,1.4060314754250793,1007,0.04249399544617409,AFG,0.0072180085404832785,length,primary roads
38,1.7147666039403975,1.3898040519883956,2349,0.10735715958122569,AFG,0.04344779924161222,number of versions,secondary roads
39,1.8413791635704877,1.4115252597285959,5277,0.042692103214518586,AFG,0.007476222025458949,timespan between versions,secondary roads
40,2.042631972765624,1.4407430911927364,11165,0.2671057167563014,AFG,0.30477225709174843,tag value length,secondary roads
41,1.8172366215592166,1.4075987633852647,2349,0.11253283630204157,AFG,0.05351108833005787,number of nodes,secondary roads
42,1.7329846537419114,1.3931066850467144,219920,0.07887871430794251,AFG,0.024507281232909864,distance between nodes,secondary roads
43,1.7777184262186727,1.4009576522982186,2369,0.020298676407953613,AFG,0.001650416089371577,length,secondary roads
44,1.4746836118786018,1.339899007408217,14268,0.263368817989045,AFG,0.2444249424876092,number of versions,tertiary roads
45,1.827217648437904,1.4092338652204148,9595,0.05775503053386383,AFG,0.013688170133043645,timespan between versions,tertiary roads
46,2.1632139381601827,1.4555865588874706,53229,0.3180518389714816,AFG,0.4541717469198336,tag value length,tertiary roads
47,1.8064374298204324,1.405810646325195,14268,0.0847180234722953,AFG,0.030140342575386232,number of nodes,tertiary roads
48,1.7480479270184244,1.3957908871269278,1073732,0.04696450051447773,AFG,0.008750209083681397,distance between nodes,tertiary roads
49,1.788369671096367,1.4027742669947287,14287,0.011541353318169545,AFG,0.0005298289293726903,length,tertiary roads
